Age_(ka_BP)	Greenland_Stack
43.4	-42.495
43.45	-42.777
43.5	-42.975
43.55	-44.044
43.6	-43.282
43.65	-42.889
43.7	-42.526
43.75	-42.653
43.8	-41.781
43.85	-42.082
43.9	-43.196
43.95	-41.681
44	-42.308
44.05	-43.046
44.1	-43.727
44.15	-41.829
44.2	-43.258
44.25	-41.500
44.3	-41.750
44.35	-39.906
44.4	-40.280
44.45	-39.295
44.5	-40.771
44.55	-42.543
44.6	-41.541
44.65	-40.571
44.7	-40.996
44.75	-41.649
44.8	-40.714
44.85	-41.956
44.9	-41.327
44.95	-40.949
45	-41.108
45.05	-40.879
45.1	-40.635
45.15	-40.357
45.2	-40.286
45.25	-39.877
45.3	-40.939
45.35	-40.561
45.4	-39.804
45.45	-39.445
45.5	-40.027
45.55	-39.250
45.6	-39.618
45.65	-38.942
45.7	-39.499
45.75	-38.870
45.8	-39.848
45.85	-38.938
45.9	-39.294
45.95	-39.007
46	-38.380
46.05	-38.796
46.1	-39.173
46.15	-39.064
46.2	-38.673
46.25	-38.855
46.3	-39.059
46.35	-38.563
46.4	-38.849
46.45	-37.429
46.5	-38.554
46.55	-39.398
46.6	-37.596
46.65	-38.219
46.7	-38.022
46.75	-37.226
46.8	-39.029
46.85	-43.362
46.9	-42.130
46.95	-42.528
47	-43.028
47.05	-42.459
47.1	-42.456
47.15	-42.827
47.2	-43.134
47.25	-43.165
47.3	-41.786
47.35	-42.532
47.4	-43.255
47.45	-43.900
47.5	-42.330
47.55	-41.370
47.6	-41.733
47.65	-43.352
47.7	-44.050
47.75	-42.965
47.8	-42.128
47.85	-42.614
47.9	-42.962
47.95	-42.338
48	-42.126
48.05	-43.410
48.1	-44.781
48.15	-43.705
48.2	-43.562
48.25	-42.855
48.3	-42.189
48.35	-42.535
48.4	-42.281
48.45	-41.639
48.5	-40.527
48.55	-41.704
48.6	-41.295
48.65	-42.043
48.7	-40.483
48.75	-40.717
48.8	-40.234
48.85	-40.049
48.9	-39.294
48.95	-39.671
49	-40.283
49.05	-41.970
49.1	-40.063
49.15	-39.158
49.2	-38.875
49.25	-41.175
49.3	-41.752
49.35	-42.430
49.4	-41.902
49.45	-41.161
49.5	-40.963
49.55	-41.083
49.6	-40.298
49.65	-40.798
49.7	-40.339
49.75	-40.054
49.8	-40.424
49.85	-41.288
49.9	-40.762
49.95	-40.824
50	-40.033
50.05	-40.694
50.1	-40.680
50.15	-40.763
50.2	-40.180
50.25	-41.407
50.3	-41.196
50.35	-40.238
50.4	-40.471
50.45	-39.939
50.5	-40.521
50.55	-41.094
50.6	-40.219
50.65	-40.774
50.7	-40.499
50.75	-40.680
50.8	-40.894
50.85	-40.314
50.9	-41.036
50.95	-39.703
51	-39.910
51.05	-40.072
51.1	-40.543
51.15	-39.999
51.2	-40.749
51.25	-41.278
51.3	-39.622
51.35	-39.758
51.4	-39.852
51.45	-40.944
51.5	-40.550
51.55	-41.747
51.6	-40.958
51.65	-38.907
51.7	-39.206
51.75	-39.511
51.8	-39.892
51.85	-39.691
51.9	-39.005
51.95	-39.100
52	-39.693
52.05	-39.464
52.1	-39.110
52.15	-38.821
52.2	-38.807
52.25	-39.014
52.3	-39.271
52.35	-39.997
52.4	-39.421
52.45	-38.206
52.5	-39.653
52.55	-38.832
52.6	-39.859
52.65	-39.402
52.7	-39.601
52.75	-38.458
52.8	-39.203
52.85	-39.698
52.9	-39.367
52.95	-39.374
53	-38.971
53.05	-39.581
53.1	-39.047
53.15	-39.147
53.2	-38.407
53.25	-38.813
53.3	-38.977
53.35	-39.538
53.4	-38.759
53.45	-38.215
53.5	-38.917
53.55	-38.852
53.6	-38.701
53.65	-39.721
53.7	-39.352
53.75	-38.312
53.8	-38.270
53.85	-37.521
53.9	-38.816
53.95	-41.339
54	-38.941
54.05	-38.930
54.1	-39.142
54.15	-37.806
54.2	-42.780
54.25	-42.843
54.3	-42.357
54.35	-42.960
54.4	-42.380
54.45	-43.613
54.5	-42.999
54.55	-42.003
54.6	-42.897
54.65	-42.686
54.7	-42.858
54.75	-41.028
54.8	-41.841
54.85	-40.777
54.9	-37.322
54.95	-39.957
55	-42.604
55.05	-42.462
55.1	-41.466
55.15	-42.316
55.2	-42.806
55.25	-43.408
55.3	-41.285
55.35	-41.437
55.4	-38.870
55.45	-39.201
55.5	-39.220
55.55	-39.967
55.6	-39.424
55.65	-38.244
55.7	-39.210
55.75	-41.104
55.8	-44.033
55.85	-43.041
55.9	-43.013
55.95	-44.138
56	-42.616
56.05	-42.310
56.1	-41.719
56.15	-43.254
56.2	-41.401
56.25	-42.863
56.3	-42.068
56.35	-41.816
56.4	-42.213
56.45	-41.071
56.5	-41.163
56.55	-41.059
56.6	-40.436
56.65	-39.806
56.7	-40.161
56.75	-40.445
56.8	-40.750
56.85	-40.035
56.9	-40.333
56.95	-40.641
57	-41.218
57.05	-40.148
57.1	-40.636
57.15	-39.540
57.2	-40.477
57.25	-40.683
57.3	-39.623
57.35	-39.730
57.4	-39.499
57.45	-40.602
57.5	-39.286
57.55	-38.196
57.6	-39.140
57.65	-39.249
57.7	-39.298
57.75	-38.596
57.8	-38.845
57.85	-39.483
57.9	-40.094
57.95	-38.227
58	-40.120
58.05	-41.478
58.1	-42.019
58.15	-38.443
58.2	-38.191
58.25	-41.877
58.3	-42.637
58.35	-41.946
58.4	-41.940
58.45	-43.222
58.5	-42.215
58.55	-40.947
58.6	-39.199
58.65	-39.858
58.7	-39.574
58.75	-41.467
58.8	-40.425
58.85	-39.362
58.9	-38.550
58.95	-38.368
59	-37.673
59.05	-42.080
59.1	-43.078
59.15	-42.674
59.2	-43.407
59.25	-42.057
59.3	-38.125
59.35	-37.728
59.4	-40.646
59.45	-41.824
59.5	-44.227
59.55	-43.721
59.6	-43.078
59.65	-42.785
59.7	-41.879
59.75	-43.004
59.8	-43.808
59.85	-43.600
59.9	-42.470
59.95	-43.190
60	-42.854
60.05	-43.551
60.1	-42.787
60.15	-43.746
60.2	-42.303
60.25	-42.674
60.3	-43.127
60.35	-43.322
60.4	-43.198
60.45	-42.549
60.5	-42.197
60.55	-43.077
60.6	-41.825
60.65	-43.183
60.7	-43.638
60.75	-44.106
60.8	-43.913
60.85	-44.036
60.9	-42.797
60.95	-43.643
61	-42.730
61.05	-43.639
61.1	-42.737
61.15	-43.479
61.2	-43.009
61.25	-43.222
61.3	-42.419
61.35	-43.402
61.4	-43.166
61.45	-43.787
61.5	-44.062
61.55	-42.832
61.6	-43.333
61.65	-43.954
61.7	-44.032
61.75	-43.828
61.8	-43.409
61.85	-43.640
61.9	-43.441
61.95	-44.458
62	-44.875
62.05	-43.375
62.1	-44.289
62.15	-44.375
62.2	-43.756
62.25	-44.150
62.3	-44.441
62.35	-44.962
62.4	-44.204
62.45	-44.434
62.5	-43.478
62.55	-43.348
62.6	-45.279
62.65	-44.129
62.7	-43.297
62.75	-44.185
62.8	-44.415
62.85	-43.944
62.9	-43.928
62.95	-43.885
63	-43.925
63.05	-43.768
63.1	-44.233
63.15	-44.840
63.2	-44.562
63.25	-43.770
63.3	-44.234
63.35	-43.791
63.4	-43.453
63.45	-43.129
63.5	-43.288
63.55	-43.773
63.6	-44.068
63.65	-43.673
63.7	-43.858
63.75	-41.521
63.8	-42.147
63.85	-40.990
63.9	-39.651
63.95	-39.991
64	-40.445
64.05	-41.917
64.1	-43.354
64.15	-42.640
64.2	-44.341
64.25	-43.644
64.3	-44.230
64.35	-44.204
64.4	-44.177
64.45	-44.136
64.5	-44.897
64.55	-44.902
64.6	-43.389
64.65	-43.377
64.7	-43.955
64.75	-44.332
64.8	-44.253
64.85	-42.985
64.9	-43.461
64.95	-44.073
65	-43.819
65.05	-44.053
65.1	-42.670
65.15	-43.847
65.2	-43.559
65.25	-44.087
65.3	-44.283
65.35	-44.690
65.4	-43.034
65.45	-44.236
65.5	-44.080
65.55	-44.358
65.6	-44.385
65.65	-44.718
65.7	-45.313
65.75	-43.733
65.8	-44.371
65.85	-44.225
65.9	-44.358
65.95	-44.445
66	-42.854
66.05	-43.591
66.1	-44.076
66.15	-44.575
66.2	-43.509
66.25	-43.649
66.3	-43.878
66.35	-43.893
66.4	-43.051
66.45	-44.258
66.5	-44.223
66.55	-43.607
66.6	-43.368
66.65	-44.132
66.7	-43.199
66.75	-43.117
66.8	-43.818
66.85	-43.895
66.9	-44.681
66.95	-42.858
67	-43.405
67.05	-45.255
67.1	-43.842
67.15	-43.600
67.2	-43.190
67.25	-43.433
67.3	-43.280
67.35	-42.696
67.4	-43.676
67.45	-43.968
67.5	-43.903
67.55	-44.104
67.6	-43.863
67.65	-43.777
67.7	-44.350
67.75	-43.277
67.8	-44.369
67.85	-43.878
67.9	-44.490
67.95	-43.382
68	-44.499
68.05	-43.740
68.1	-43.063
68.15	-44.055
68.2	-43.266
68.25	-43.504
68.3	-44.981
68.35	-44.288
68.4	-43.961
68.45	-44.530
68.5	-44.223
68.55	-44.170
68.6	-44.206
68.65	-45.105
68.7	-43.061
68.75	-45.198
68.8	-43.365
68.85	-42.699
68.9	-43.773
68.95	-43.658
69	-43.559
69.05	-43.884
69.1	-44.051
69.15	-44.606
69.2	-43.651
69.25	-43.261
69.3	-42.122
69.35	-41.031
69.4	-39.298
69.45	-40.233
69.5	-42.169
69.55	-43.778
69.6	-43.954
69.65	-44.752
69.7	-44.365
69.75	-44.403
69.8	-44.439
69.85	-44.909
69.9	-44.607
69.95	-44.295
70	-44.138
70.05	-43.357
70.1	-44.577
70.15	-43.841
70.2	-44.365
70.25	-43.496
70.3	-43.078
70.35	-43.310
70.4	-42.857
70.45	-41.949
70.5	-42.252
70.55	-42.835
70.6	-41.953
70.65	-42.720
70.7	-41.247
70.75	-41.602
70.8	-41.607
70.85	-40.156
70.9	-40.052
70.95	-40.492
71	-40.230
71.05	-40.043
71.1	-39.682
71.15	-40.070
71.2	-39.858
71.25	-39.938
71.3	-39.205
71.35	-39.871
71.4	-39.789
71.45	-39.235
71.5	-39.239
71.55	-38.849
71.6	-38.824
71.65	-38.848
71.7	-38.486
71.75	-38.762
71.8	-38.487
71.85	-38.376
71.9	-38.114
71.95	-38.034
72	-37.946
72.05	-37.598
72.1	-37.755
72.15	-40.008
72.2	-42.352
72.25	-44.280
72.3	-43.398
72.35	-44.105
72.4	-45.099
72.45	-44.644
72.5	-44.202
72.55	-45.032
72.6	-44.746
72.65	-44.611
72.7	-44.640
72.75	-43.654
72.8	-44.601
72.85	-44.536
72.9	-43.877
72.95	-44.720
73	-44.816
73.05	-44.293
73.1	-44.893
73.15	-44.008
73.2	-45.137
73.25	-44.516
73.3	-44.418
73.35	-44.387
73.4	-44.936
73.45	-44.058
73.5	-44.253
73.55	-44.064
73.6	-43.940
73.65	-44.497
73.7	-43.325
73.75	-43.576
73.8	-42.611
73.85	-40.884
73.9	-40.784
73.95	-40.472
74	-40.220
74.05	-41.207
74.1	-40.846
74.15	-40.051
74.2	-40.063
74.25	-39.678
74.3	-39.317
74.35	-39.611
74.4	-39.438
74.45	-39.785
74.5	-39.592
74.55	-39.239
74.6	-39.124
74.65	-39.687
74.7	-39.309
74.75	-39.118
74.8	-39.391
74.85	-39.613
74.9	-38.782
74.95	-39.105
75	-38.893
75.05	-39.043
75.1	-38.713
75.15	-38.454
75.2	-38.818
75.25	-38.802
75.3	-38.305
75.35	-38.016
75.4	-38.116
75.45	-38.447
75.5	-38.032
75.55	-38.088
75.6	-37.799
75.65	-37.983
75.7	-37.558
75.75	-37.456
75.8	-37.235
75.85	-37.697
75.9	-39.532
75.95	-40.607
76	-42.553
76.05	-42.271
76.1	-42.798
76.15	-43.021
76.2	-42.195
76.25	-42.460
76.3	-42.861
76.35	-43.239
76.4	-42.959
76.45	-41.967
76.5	-42.248
76.55	-42.758
76.6	-42.904
76.65	-42.879
76.7	-42.862
76.75	-42.798
76.8	-43.668
76.85	-42.256
76.9	-42.975
76.95	-42.970
77	-42.108
77.05	-42.515
77.1	-42.954
77.15	-42.109
77.2	-41.398
77.25	-42.165
77.3	-39.835
77.35	-39.950
77.4	-39.346
77.45	-39.381
77.5	-39.723
77.55	-39.786
77.6	-40.363
77.65	-40.604
77.7	-41.075
77.75	-40.962
77.8	-40.653
77.85	-40.723
77.9	-40.175
77.95	-40.145
78	-39.968
78.05	-40.576
78.1	-40.681
78.15	-40.121
