depths	GICC05_kaBP	d18ONGRIP2
NA	20.13	-42.02
NA	20.15	-42
NA	20.17	-42.33
NA	20.19	-42.305
NA	20.21	-42.4
NA	20.23	-42.485
NA	20.25	-41.57
NA	20.27	-40.88
NA	20.29	-41.945
NA	20.31	-42.5
NA	20.33	-42.21
NA	20.35	-42.15
NA	20.37	-42.775
NA	20.39	-42.52
NA	20.41	-42.49
NA	20.43	-43.82
NA	20.45	-43.5
NA	20.47	-42.825
NA	20.49	-43.355
NA	20.51	-42.76
NA	20.53	-41.97
NA	20.55	-42.565
NA	20.57	-43.28
NA	20.59	-44.16
NA	20.61	-43.75
NA	20.63	-42.275
NA	20.65	-41.965
NA	20.67	-42.17
NA	20.69	-41.52
NA	20.71	-40.34
NA	20.73	-41.83
NA	20.75	-42.855
NA	20.77	-41.035
NA	20.79	-41.345
NA	20.81	-42.565
NA	20.83	-42.69
NA	20.85	-41.835
NA	20.87	-42.03
NA	20.89	-42.95
NA	20.91	-42.315
NA	20.93	-42.7
NA	20.95	-42.77
NA	20.97	-43.09
NA	20.99	-43.44
NA	21.01	-43.025
NA	21.03	-43.965
NA	21.05	-44.155
NA	21.07	-43.01
NA	21.09	-42.4
NA	21.11	-42.965
NA	21.13	-43.465
NA	21.15	-42.98
NA	21.17	-42.265
NA	21.19	-41.955
NA	21.21	-41.99
NA	21.23	-42.9
NA	21.25	-43.385
NA	21.27	-43.385
NA	21.29	-43.245
NA	21.31	-42.635
NA	21.33	-41.85
NA	21.35	-41.49
NA	21.37	-42.19
NA	21.39	-43.135
NA	21.41	-42.95
NA	21.43	-42.295
NA	21.45	-43.14
NA	21.47	-42.485
NA	21.49	-41.805
NA	21.51	-42.705
NA	21.53	-43.805
NA	21.55	-43.215
NA	21.57	-41.935
NA	21.59	-42.455
NA	21.61	-42.48
NA	21.63	-41.56
NA	21.65	-41.94
NA	21.67	-42.385
NA	21.69	-42.655
NA	21.71	-42.71
NA	21.73	-41.805
NA	21.75	-42.865
NA	21.77	-44.04
NA	21.79	-43.2
NA	21.81	-43.09
NA	21.83	-43.61
NA	21.85	-43.315
NA	21.87	-42.93
NA	21.89	-43.175
NA	21.91	-43.365
NA	21.93	-42.23
NA	21.95	-41.625
NA	21.97	-42.09
NA	21.99	-42.35
NA	22.01	-42.56
NA	22.03	-42.645
NA	22.05	-42.575
NA	22.07	-42.2
NA	22.09	-41.2
NA	22.11	-41.9
NA	22.13	-42.14
NA	22.15	-42.14
NA	22.17	-42.655
NA	22.19	-41.51
NA	22.21	-41.58
NA	22.23	-41.855
NA	22.25	-41.525
NA	22.27	-41.35
NA	22.29	-41.295
NA	22.31	-41.875
NA	22.33	-42.355
NA	22.35	-42.72
NA	22.37	-42.875
NA	22.39	-41.855
NA	22.41	-42.365
NA	22.43	-43.065
NA	22.45	-42.955
NA	22.47	-42.89
NA	22.49	-42.41
NA	22.51	-42.195
NA	22.53	-41.94
NA	22.55	-42.99
NA	22.57	-43.475
NA	22.59	-42.91
NA	22.61	-42.45
NA	22.63	-42.195
NA	22.65	-41.995
NA	22.67	-42.225
NA	22.69	-42.855
NA	22.71	-42.97
NA	22.73	-43.16
NA	22.75	-43.025
NA	22.77	-41.645
NA	22.79	-40.695
NA	22.81	-40.515
NA	22.83	-41.375
NA	22.85	-41.92
NA	22.87	-41.74
NA	22.89	-42.015
NA	22.91	-42.75
NA	22.93	-43.005
NA	22.95	-41.7
NA	22.97	-41.535
NA	22.99	-41.175
NA	23.01	-40.835
NA	23.03	-41.57
NA	23.05	-42.3
NA	23.07	-42.42
NA	23.09	-41.995
NA	23.11	-42.065
NA	23.13	-42.895
NA	23.15	-43.315
NA	23.17	-42.55
NA	23.19	-41.95
NA	23.21	-42.32
NA	23.23	-42.13
